FechaLocal,FechaUTC,TemperaturaAire(C),Precipitacion(mm),HumedadRelativa(%),PresionAtmosferica(hpa),RadiacionSolar(W/m2),DireccionViento(grados),RapidezViento(km/h),DireccionRafaga(grados),RapidezRafaga(km/h)
19/11/2020 15:20,19/11/2020 21:20,28,0,72,1017,226,59,28,115,46
19/11/2020 15:10,19/11/2020 21:10,28,0,73,1017,445,59,27,103,43
19/11/2020 15:00,19/11/2020 21:00,28,0,74,1017,475,60,28,97,53
19/11/2020 14:50,19/11/2020 20:50,28,0,75,1017,359,59,27,94,51
19/11/2020 14:40,19/11/2020 20:40,28,0,74,1017,550,63,27,99,48
19/11/2020 14:30,19/11/2020 20:30,28,0,73,1017,462,62,26,111,49
19/11/2020 14:20,19/11/2020 20:20,28,0,73,1017,580,62,26,112,45
19/11/2020 14:10,19/11/2020 20:10,28,0,75,1017,627,61,29,135,46
19/11/2020 14:00,19/11/2020 20:00,28,0,75,1017,575,60,27,95,48
19/11/2020 13:50,19/11/2020 19:50,28,0,74,1017,668,61,30,94,48
19/11/2020 13:40,19/11/2020 19:40,29,0,73,1017,373,60,28,97,49
19/11/2020 13:30,19/11/2020 19:30,29,0,72,1017,759,59,26,112,42
19/11/2020 13:20,19/11/2020 19:20,29,0,73,1018,744,57,28,100,44
19/11/2020 13:10,19/11/2020 19:10,29,0,74,1018,738,61,24,100,45
19/11/2020 13:00,19/11/2020 19:00,29,0,75,1018,581,54,26,104,45
19/11/2020 12:50,19/11/2020 18:50,29,0,76,1018,668,58,23,93,44
19/11/2020 12:40,19/11/2020 18:40,29,0,75,1018,381,54,27,94,45
19/11/2020 12:30,19/11/2020 18:30,29,0,74,1018,986,59,26,128,43
19/11/2020 12:20,19/11/2020 18:20,29,0,76,1018,782,55,26,87,42
19/11/2020 12:10,19/11/2020 18:10,28,0,78,1018,447,59,26,105,45
19/11/2020 12:00,19/11/2020 18:00,28,0,76,1019,814,60,26,98,41
19/11/2020 11:50,19/11/2020 17:50,29,0,72,1019,771,62,23,95,41
19/11/2020 11:40,19/11/2020 17:40,29,0,72,1019,747,58,27,124,45
19/11/2020 11:30,19/11/2020 17:30,29,0,73,1019,679,58,28,96,46
19/11/2020 11:20,19/11/2020 17:20,29,0,73,1019,816,61,26,96,44
19/11/2020 11:10,19/11/2020 17:10,29,0,73,1019,870,58,27,97,42
19/11/2020 11:00,19/11/2020 17:00,29,0,73,1020,832,61,26,108,48
19/11/2020 10:50,19/11/2020 16:50,28,0,76,1020,449,61,24,94,39
19/11/2020 10:40,19/11/2020 16:40,29,0,77,1020,349,65,20,143,33
19/11/2020 10:30,19/11/2020 16:30,28,0,76,1020,474,67,19,129,40
19/11/2020 10:20,19/11/2020 16:20,28,0,77,1020,387,63,22,117,45
19/11/2020 10:10,19/11/2020 16:10,28,0,77,1020,353,63,21,109,34
19/11/2020 10:00,19/11/2020 16:00,28,0,77,1020,229,62,23,102,40
19/11/2020 09:50,19/11/2020 15:50,28,0,78,1020,704,64,19,107,33
19/11/2020 09:40,19/11/2020 15:40,28,0,77,1020,665,63,23,112,41
19/11/2020 09:30,19/11/2020 15:30,28,0,77,1020,578,67,22,95,42
19/11/2020 09:20,19/11/2020 15:20,28,0,79,1020,524,60,23,104,41
19/11/2020 09:10,19/11/2020 15:10,28,0,76,1020,350,63,21,109,34
19/11/2020 09:00,19/11/2020 15:00,27,0,79,1020,429,67,21,125,37
19/11/2020 08:50,19/11/2020 14:50,28,0,77,1020,328,64,19,101,38
19/11/2020 08:40,19/11/2020 14:40,28,0,78,1020,557,71,21,100,37
19/11/2020 08:30,19/11/2020 14:30,28,0,78,1020,459,68,21,106,35
19/11/2020 08:20,19/11/2020 14:20,27,0,82,1020,512,70,19,125,33
19/11/2020 08:10,19/11/2020 14:10,26,0,84,1020,196,68,17,114,32
19/11/2020 08:00,19/11/2020 14:00,27,0,84,1019,183,67,17,110,32
19/11/2020 07:50,19/11/2020 13:50,27,0,83,1019,292,66,21,99,33
19/11/2020 07:40,19/11/2020 13:40,26,0,84,1019,163,62,18,112,37
19/11/2020 07:30,19/11/2020 13:30,26,0,85,1019,108,64,20,121,34
19/11/2020 07:20,19/11/2020 13:20,26,0,86,1019,89,63,19,116,34
19/11/2020 07:10,19/11/2020 13:10,26,0,88,1019,77,64,17,190,28
19/11/2020 07:00,19/11/2020 13:00,25,0,88,1019,54,61,20,106,34
19/11/2020 06:50,19/11/2020 12:50,25,0,87,1019,42,59,18,106,31
19/11/2020 06:40,19/11/2020 12:40,25,0,87,1019,30,57,21,97,35
19/11/2020 06:30,19/11/2020 12:30,25,0,87,1019,18,57,19,93,34
19/11/2020 06:20,19/11/2020 12:20,25,0,87,1019,5,61,19,112,34
19/11/2020 06:10,19/11/2020 12:10,25,0,87,1019,1,60,18,105,35
19/11/2020 06:00,19/11/2020 12:00,25,0,89,1019,,55,21,96,34
19/11/2020 05:50,19/11/2020 11:50,25,0,89,1019,,56,21,114,35
19/11/2020 05:40,19/11/2020 11:40,25,0,91,1018,0,55,20,84,33
19/11/2020 05:30,19/11/2020 11:30,25,0,91,1018,,64,18,133,33
19/11/2020 05:20,19/11/2020 11:20,24,0,92,1018,,64,15,100,24
19/11/2020 05:10,19/11/2020 11:10,24,0,93,1018,,64,14,109,24
19/11/2020 05:00,19/11/2020 11:00,24,0,94,1018,,62,15,153,26
19/11/2020 04:50,19/11/2020 10:50,24,0,94,1018,,65,15,101,30
19/11/2020 04:40,19/11/2020 10:40,24,0,92,1018,,61,21,102,39
19/11/2020 04:30,19/11/2020 10:30,25,0,91,1018,,50,21,97,46
19/11/2020 04:20,19/11/2020 10:20,25,0,92,1018,0,45,16,79,26
19/11/2020 04:10,19/11/2020 10:10,24,0,92,1018,,49,18,82,28
19/11/2020 04:00,19/11/2020 10:00,24,0,91,1018,0,50,21,99,33
19/11/2020 03:50,19/11/2020 09:50,24,0,93,1018,0,54,20,92,30
19/11/2020 03:40,19/11/2020 09:40,24,0,95,1018,0,58,19,91,33
19/11/2020 03:30,19/11/2020 09:30,24,0,96,1018,0,55,18,92,32
19/11/2020 03:20,19/11/2020 09:20,24,0,97,1018,1,61,17,108,29
