Número de Incendio,Clave del incendio,Grados,Minutos,Segundos,Grados,Minutos,Segundos,Clave municipio,Estado,Municipio,Predio,Causa,Fecha Inicio,Fecha Termino,Mes Acontecimiento,Duración días,Tipo de incendio,Tipo Vegetacion,Tipo Impacto,Arbolado Adulto,Renuevo,Arbustivo,Herbaceo,Hojarasca,Suelo Organico,Total Hectareas,Tamaño,Deteccion,Llegada,Duracion HMS,Duracion H,Costos MXN,Superficie Salvada,CO2 emitido,CO2 Evito emitir,Region
922,17-15-0922,19,26,45.7,98,46,23,99,México,Texcoco,"Coatlinchan,Tequesquinahua,San pablo Izayoc,Coatepec",INTENCIONAL,01/04/2017,06/04/2017,abril,4 a 7 Días,Mixto,Bosque de Pino-Encino - BPQ,IMPACTO SEVERO,585,730,800,450,0,0,2565,Mayor a 100 Hectáreas,00:00:00,00:00:00,00:00:00,0,118726,39095.73,70852.06,1398996.49,Centro
33,17-23-0033,21,12,21.8,86,59,57.3,5,Quintana Roo,Benito Juárez,Zona de Pozos,QUEMA DE BASUREROS,15/04/2017,20/04/2017,abril,4 a 7 Días,Superficial,Selva mediana subperennifolia - SMQ,IMPACTO MÍNIMO,0,0,50,0,0,0,50,21 a 50 Hectáreas,36:00:00,00:30:00,00:00:00,0,55493.82,768.5,1457.05,22208.31,Sureste
298,17-07-0298,16,25,53.1,93,56,38.5,17,Chiapas,Cintalapa,Grano de Oro,INTENCIONAL,29/04/2017,02/05/2017,abril,4 a 7 Días,Superficial,Bosque de Pino - BP,IMPACTO MÍNIMO,0,10,0,50,70,0,130,Mayor a 100 Hectáreas,00:30:00,00:30:00,00:00:00,0,49565,1981.46,6920.7,105485.34,Sureste
36,17-23-0036,19,14,47.3,88,19,24.5,2,Quintana Roo,Felipe Carrillo Puerto,Ejido Petcacab,CAZADORES,17/04/2017,22/04/2017,abril,4 a 7 Días,Superficial,Selva mediana subperennifolia - SMQ,IMPACTO MÍNIMO,71,0,0,0,0,0,71,51 a 100 Hectáreas,01:00:00,10:45:00,00:00:00,0,47800.52,1084.77,0,0,Sureste
160,17-20-0160,16,36,4,97,44,6,377,Oaxaca,Santa Cruz Itundujia,Ejido Zaragoza,ACTIVIDADES AGROPECUARIAS,01/04/2017,05/04/2017,abril,4 a 7 Días,Superficial,Bosque de Pino-Encino - BPQ,IMPACTO MÍNIMO,0,0,50,355,100,0,505,Mayor a 100 Hectáreas,02:00:00,07:00:00,00:00:00,0,42600,7697.21,18070.85,275435.96,Centro
130,17-12-0130,17,35,37.58,99,34,6.88,29,Guerrero,Chilpancingo de los Bravo,Amojileca-Jalapa,FOGATAS,07/04/2017,11/04/2017,abril,4 a 7 Días,Superficial,Bosque de Encino - BQ,IMPACTO MÍNIMO,0,0,127,150,120,20,417,Mayor a 100 Hectáreas,01:30:00,09:30:00,00:00:00,0,40600.8,6355.91,13118.44,199951.19,Centro
885,17-15-0885,19,9,26.68,100,16,23.59,78,México,Santo Tomás,Ejido De Tacuitapan,ACTIVIDADES AGROPECUARIAS,06/04/2017,08/04/2017,abril,2 a 3 Días,De copa,Bosque de Encino-Pino - BQP,IMPACTO SEVERO,12,28,190,70,0,0,300,Mayor a 100 Hectáreas,00:05:00,02:20:00,00:00:00,0,34817,4572.6,10305.75,163625.32,Centro
288,17-07-0288,16,5,16.5,93,5,25.3,107,Chiapas,Villa Corzo,El Zapote,ACTIVIDADES AGROPECUARIAS,28/04/2017,01/05/2017,abril,4 a 7 Días,Superficial,Bosque de Pino-Encino - BPQ,IMPACTO MÍNIMO,0,0,15,10,10,0,35,21 a 50 Hectáreas,02:00:00,10:00:00,00:00:00,0,24059,533.47,1252.44,19089.62,Sureste
249,17-07-0249,15,52,26.8,92,37,34.18,20,Chiapas,La Concordia,Plan Grande,OTRAS CAUSAS,19/04/2017,24/04/2017,abril,4 a 7 Días,Superficial,Bosque de Pino-Encino - BPQ,IMPACTO MÍNIMO,0,0,0,60,0,0,60,51 a 100 Hectáreas,00:10:00,00:20:00,00:00:00,0,21099,914.52,2147.03,32725.06,Sureste
120,17-10-0120,22,57,59.5,104,13,37.3,14,Durango,Mezquital,COM. SANTA MARIA DE OCOTAN Y XOCONOXTLE (PUERTO MEXICO),ACTIVIDADES AGROPECUARIAS,30/04/2017,02/05/2017,abril,2 a 3 Días,Superficial,Bosque de Pino - BP,IMPACTO MÍNIMO,0,1,3,0,80,0,84,51 a 100 Hectáreas,00:20:00,00:55:00,00:00:00,0,19320,1284.9,4471.84,68403.19,Norte
200,17-07-0200,16,26,34.51,93,37,44.25,46,Chiapas,Jiquipilas,Cerro Las Cruces,CAZADORES,04/04/2017,06/04/2017,abril,2 a 3 Días,Superficial,Bosque de Pino-Encino - BPQ,IMPACTO MÍNIMO,0,0,0,20,20,0,40,21 a 50 Hectáreas,01:00:00,01:00:00,00:00:00,0,18478,609.68,1431.35,21816.71,Sureste
150,17-12-0150,16,45,59.92,98,48,17.22,52,Guerrero,San Luis Acatlán,Miahuichan,ACTIVIDADES AGROPECUARIAS,07/04/2017,11/04/2017,abril,4 a 7 Días,Superficial,Selva baja caducifolia - SBC,IMPACTO MÍNIMO,0,0,40,0,90,0,130,Mayor a 100 Hectáreas,10:00:00,03:00:00,00:00:00,0,17852,1981.46,9204.55,140295.74,Centro
59,17-32-0059,22,29,52.76,104,14,8.31,49,Zacatecas,Valparaíso,Ejido Santa Lucía de la Sierra,OTRAS CAUSAS,01/04/2017,03/04/2017,abril,2 a 3 Días,Superficial,Bosque de Pino-Encino - BPQ,IMPACTO MÍNIMO,0,0,53,80,0,0,133,Mayor a 100 Hectáreas,00:30:00,03:00:00,00:00:00,0,17195.25,2030.08,4766.05,72644.19,Occidente
36,17-24-0036,22,32,45.9,99,21,20.58,58,San Luis Potosí,El Naranjo,El Sifon,ACTIVIDADES AGROPECUARIAS,02/04/2017,03/04/2017,abril,2 a 3 Días,Superficial,Selva baja caducifolia - SBC,IMPACTO MÍNIMO,0,0,35,10,5,0,50,21 a 50 Hectáreas,00:15:00,00:25:00,00:00:00,0,13785,759.05,3526.05,53744.06,Occidente
126,17-12-0126,17,10,1.99,99,47,1.1,1,Guerrero,Acapulco de Juárez,Xaltianguis-Cerro de la Cruz,OTRAS CAUSAS,06/04/2017,07/04/2017,abril,2 a 3 Días,Superficial,Bosque de Pino - BP,IMPACTO MÍNIMO,0,0,35,100,70,0,205,Mayor a 100 Hectáreas,02:00:00,10:00:00,00:00:00,0,13595,3124.61,10913.41,166342.27,Centro
181,17-20-0181,16,6,43.2,96,7,37.2,266,Oaxaca,San Miguel del Puerto,La Merced del Potrero,INTENCIONAL,13/04/2017,14/04/2017,abril,2 a 3 Días,Superficial,Bosque de Pino - BP,IMPACTO MÍNIMO,0,1,5,2,2,0,10,6 a 10 Hectáreas,01:00:00,04:00:00,00:00:00,0,10800,152.42,532.36,8114.26,Centro
158,17-14-0158,21,0,4.5,103,34,28.5,71,Jalisco,San Cristóbal de la Barranca,La  Mina de la Falda,ACTIVIDADES AGROPECUARIAS,02/04/2017,03/04/2017,abril,2 a 3 Días,Superficial,Bosque de Encino - BQ,IMPACTO MÍNIMO,0,0,0,60,24,0,84,51 a 100 Hectáreas,01:00:00,05:00:00,00:00:00,0,8104,1287.49,2657.35,40503.3,Occidente
489,17-16-0489,18,38,31.2,100,57,46.8,38,Michoacán,Huetamo,San Ignacio,ACTIVIDADES AGROPECUARIAS,16/04/2017,17/04/2017,abril,2 a 3 Días,Superficial,Selva baja caducifolia - SBC,IMPACTO MÍNIMO,0,0,50,25,0,0,75,51 a 100 Hectáreas,00:15:00,04:00:00,00:00:00,0,8000,1143.15,5310.32,80939.85,Occidente
74,17-31-0074,20,41,55.5,87,53,26.48,19,Yucatán,Chemax,Ejido Chemax,ACTIVIDADES AGROPECUARIAS,08/04/2017,10/04/2017,abril,2 a 3 Días,Superficial,Selva mediana subcaducifolia - SMS,IMPACTO MÍNIMO,0,0,4,0,0,0,4,0 a 5 Hectáreas,00:10:00,01:20:00,00:00:00,0,7880,56.4,106.92,1629.73,Sureste
156,17-12-0156,17,35,25.64,99,41,6.64,29,Guerrero,Chilpancingo de los Bravo,Chichihualco,OTRAS CAUSAS,21/04/2017,22/04/2017,abril,2 a 3 Días,Superficial,Bosque de Pino - BP,IMPACTO MÍNIMO,0,0,5,10,10,5,30,21 a 50 Hectáreas,02:00:00,14:30:00,00:00:00,0,6737,457.26,1597.09,24342.77,Centro
58,17-31-0058,21,2,18.9,87,31,38.3,96,Yucatán,Tizimín,Ejido Popolnah,ACTIVIDADES AGROPECUARIAS,23/04/2017,25/04/2017,abril,2 a 3 Días,Superficial,Selva baja caducifolia - SBC,IMPACTO MÍNIMO,4,0,22,0,0,0,26,21 a 50 Hectáreas,10:00:00,04:30:00,00:00:00,0,6580,391.72,1557.69,27735.39,Sureste
47,17-31-0047,21,4,18.5,89,18,38.4,52,Yucatán,Motul,Carr. Motul-Kini,FUMADORES,25/04/2017,26/04/2017,abril,2 a 3 Días,Superficial,Selva baja caducifolia - SBC,IMPACTO MÍNIMO,0,0,8,0,0,0,8,6 a 10 Hectáreas,00:30:00,00:30:00,00:00:00,0,5420,114.32,531.03,8093.98,Sureste
239,17-12-0239,17,19,58.77,99,32,54.62,29,Guerrero,Chilpancingo de los Bravo,Zoyatepec,ACTIVIDADES AGROPECUARIAS,08/04/2017,09/04/2017,abril,2 a 3 Días,Superficial,Bosque de Pino - BP,IMPACTO MÍNIMO,0,0,3,4,8,0,15,11 a 20 Hectáreas,01:00:00,11:00:00,00:00:00,0,5379.05,231.68,809.19,12333.67,Centro
138,17-30-0138,19,31,3.2,97,22,41,128,Veracruz,Perote,Ejido Totalco,ACTIVIDADES AGROPECUARIAS,29/04/2017,30/04/2017,abril,2 a 3 Días,Mixto,Matorral Desértico Rosetófilo - MDR,IMPACTO MÍNIMO,0,0,14,0,0,0,14,11 a 20 Hectáreas,00:20:00,00:55:00,00:00:00,0,4163,213.39,312.79,4767.5,Centro
524,17-08-0524,26,0,35,106,43,48,29,Chihuahua,Guadalupe y Calvo,Ej. Chinatu,ACTIVIDADES AGROPECUARIAS,15/04/2017,16/04/2017,abril,2 a 3 Días,Superficial,Bosque de Pino-Encino - BPQ,IMPACTO MÍNIMO,0,0,0,0,20,0,20,11 a 20 Hectáreas,00:07:00,04:00:00,00:00:00,0,3806,309.72,727.13,11082.89,Norte
183,17-07-0183,16,54,40.8,93,27,8.2,61,Chiapas,Ocozocoautla de Espinosa,El Aguajito,ACTIVIDADES AGROPECUARIAS,02/04/2017,03/04/2017,abril,2 a 3 Días,Subterráneo,Selva mediana perennifolia - SMP,IMPACTO MODERADO,1,0,0,0,0,0,1,0 a 5 Hectáreas,00:45:00,00:45:00,00:00:00,0,3454,15.24,0,0,Sureste
464,17-10-0464,23,13,6.48,105,10,51.7,23,Durango,Pueblo Nuevo,COM. SAN BERNARDINO NDE MILPILLAS CHICO (EL CARRIZO),ACTIVIDADES AGROPECUARIAS,28/04/2017,29/04/2017,abril,2 a 3 Días,Superficial,Bosque de Pino-Encino - BPQ,IMPACTO MÍNIMO,1,2,12,8,28,0,51,21 a 50 Hectáreas,01:00:00,01:00:00,00:00:00,0,2520,769.72,1789.19,27543.6,Norte
204,17-10-0204,25,26,54.9,106,49,51.1,34,Durango,Tamazula,EJ. LAS MILPAS Y ANEXOS,FUMADORES,28/04/2017,29/04/2017,abril,2 a 3 Días,Superficial,Bosque de Pino - BP,IMPACTO MÍNIMO,0,2,0,2,2,0,6,6 a 10 Hectáreas,00:15:00,00:30:00,00:00:00,0,2310,98.01,342.31,5217.47,Norte
346,17-21-0346,18,59,23.8,97,59,48.1,40,Puebla,Cuautinchán,El cerro del Teutle,INTENCIONAL,04/04/2017,06/04/2017,abril,2 a 3 Días,Superficial,Bosque de Encino - BQ,IMPACTO MÍNIMO,0,0,35,15,0,0,50,21 a 50 Hectáreas,00:20:00,01:00:00,00:00:00,0,1600,762.1,1572.95,23974.96,Centro
436,17-21-0436,19,17,27.9,98,38,14.9,180,Puebla,Tlahuapan,Curato  ,ACTIVIDADES AGROPECUARIAS,28/04/2017,28/04/2017,abril,1 Día,Superficial,Bosque de Pino-Encino - BPQ,IMPACTO MÍNIMO,0,0,0,1,0,0,1,0 a 5 Hectáreas,00:05:00,01:00:00,00:02:00,0.03,2150,15.24,35.78,545.42,Centro
4,17-02-0004,31,6,22.2,116,9,53.27,1,Baja California,Ensenada, Colonet,INTENCIONAL,20/04/2017,20/04/2017,abril,1 Día,Superficial,Chaparral - ML,IMPACTO MÍNIMO,0,0,20,0,0,0,20,11 a 20 Hectáreas,00:11:00,00:59:00,00:06:45,0.11,7080,304.84,1605.19,24466.31,Noroeste
229,17-07-0229,15,51,58.29,92,48,8.05,20,Chiapas,La Concordia,Ejido Dolores Jaltenango,ACTIVIDADES AGROPECUARIAS,14/04/2017,16/04/2017,abril,2 a 3 Días,Superficial,Bosque de Pino-Encino - BPQ,IMPACTO MÍNIMO,0,0,0,5,0,0,5,0 a 5 Hectáreas,00:30:00,00:30:00,00:10:00,0.17,30662,76.21,178.92,2727.09,Sureste
358,17-16-0358,19,38,6.8,102,32,42,95,Michoacán,Tocumbo,Pequeña Propiedad,ACTIVIDADES AGROPECUARIAS,06/04/2017,07/04/2017,abril,2 a 3 Días,Superficial,Bosque de Encino-Pino - BQP,IMPACTO MODERADO,9,0,0,20,25,0,54,51 a 100 Hectáreas,00:20:00,00:10:00,00:10:00,0.17,10047.6,829.16,1617.43,29670.72,Occidente
54,17-01-0054,21,45,5.5,102,44,36.5,3,Aguascalientes,Calvillo,Los Sotoles y Mesa del Roble,OTRAS CAUSAS,15/04/2017,16/04/2017,abril,2 a 3 Días,Superficial,Bosque de Encino - BQ,IMPACTO MÍNIMO,0,0,5,10,19,0,34,21 a 50 Hectáreas,00:30:00,00:15:00,00:17:00,0.28,32600.18,516.7,1060.17,16255.02,Occidente
843,17-15-0843,19,44,20.7,99,46,35.9,48,México,Jocotitlán,Comunal Jocotitlan,ACTIVIDADES AGROPECUARIAS,04/04/2017,04/04/2017,abril,1 Día,Superficial,Bosque de Pino-Encino - BPQ,IMPACTO MÍNIMO,0,0,1,0,0,0,1,0 a 5 Hectáreas,00:05:00,01:00:00,00:20:00,0.33,8945,15.24,35.78,545.42,Centro
159,17-12-0159,17,38,38.53,99,42,58.17,40,Guerrero,Leonardo Bravo,Chichihualco-el Campamento,ACTIVIDADES AGROPECUARIAS,20/04/2017,21/04/2017,abril,2 a 3 Días,Superficial,Bosque de Encino - BQ,IMPACTO MÍNIMO,0,0,4,4,0,0,8,6 a 10 Hectáreas,02:00:00,10:00:00,00:20:00,0.33,5440.4,119.34,246.32,3754.48,Centro
1046,17-15-1046,19,20,47.64,100,12,29.63,111,México,Villa de Allende,Ejido San Jose Allende,FOGATAS,19/04/2017,19/04/2017,abril,1 Día,Superficial,Bosque de Pino-Encino - BPQ,IMPACTO MÍNIMO,0,0,1,0,0,0,1,0 a 5 Hectáreas,00:05:00,00:55:00,00:25:00,0.42,6017,15.24,35.78,545.42,Centro
